vo,route_id,F_Class,Urban_Type,Fd_Aid_Rd,Control,Num_Lanes,Opp_Lanes,Surface_Tp,Surface_Wd,Shldr_Rt_W,Shldr_Rt_T,Shldr_Lt_W,Shldr_Lt_T,Shldr_UL_W,Shldr_UL_T,Med_Width,Med_Type,Curb,Lt_Sidewlk,Rt_Sidewlk,Terrain,Toll_Road,City,County,AADT,AADT_Year,Length
213,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.0029298
214,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,1.5734098
215,B0065,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.5977208
216,B0065,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,222,27,,,2.00E-06
217,B0065,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,222,27,,,0.6032174
218,B0065,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,222,27,,,0.0306084
219,B0065,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,222,27,,,0.8268283
220,B0066,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,222,27,,,0.3441071
221,B0066,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,257,27,,,0.4324493
222,B0066,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,257,27,,,1.2545332
223,B0066,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,2,,257,27,,,0.3277152
224,B0066,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,257,27,,,1.6416181
225,B0067,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,257,27,,,0.2151829
226,B0067,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,257,27,,,1.2267888
227,B0068,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,134,27,,,1.3396949
228,B0070,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,151,27,,,0.8679605
