GeneID	206014020-W-Milk	206014056-W-Milk	208013840-W-Milk	208024121-W-Milk	810049338-W-Milk	810049344-W-Milk	811035548-W-Milk	811035585-W-Milk	811035588-W-Milk	812007775-W-Milk	812027644-W-Milk	812027654-W-Milk	207016597-W2-Milk	208000940-W2-Milk	208000943-W2-Milk	208000985-W2-Milk	208001021-W2-Milk	209021318-W2-Milk	209021321-W2-Milk	210004788-W2-Milk	210004789-W2-Milk	210004794-W2-Milk	210004803-W2-Milk	210004816-W2-Milk	b1	b2	b3	207016597-W2-Blood	208000916-W2-Blood	208000940-W2-Blood	208000943-W2-Blood	208000985-W2-Blood	208001021-W2-Blood	209021318-W2-Blood	209021321-W2-Blood	210004788-W2-Blood
ENSBTAG00000022498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022509	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	4	0	0	0	0	2	0	4	3	0	2	1	2	5	10	2	3
ENSBTAG00000022514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0
ENSBTAG00000022520	5	2	10	0	1	0	0	0	0	1	3	0	1	0	2	4	0	0	0	1	1	5	0	2	84	84	107	0	1	0	0	0	1	2	1	0
ENSBTAG00000022528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000022529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0
ENSBTAG00000022530	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	4	0	1	2	0	0	0	0	20	13	32	0	0	0	0	0	0	0	0	0
